"","ID1","CMODE6","CMODE5","MC","AGE","AGE2","RACE","GEND","EDUC","STUD","HHSIZE","HHMEMEMP","HHMEMSTU","HHMEM16L","HHMEM65P","HHINC","DISAB","DLIC","HHVEHBIKE","HHVEHAUTO","TPASS","VSHMEMAUTO","VSHMEMBIKE","HTYPE","HTEN","HDUR","WSELF","WDAYS1","WFLEX","TYPSAT","TYPSATTT","TTIDEAL","TPORT","DAYTempMax","DAYTempMin","DAYTempFrz","DAYTempAvgDev","DAYWeatherRAIN","DAYWeatherMIST","DAYWeatherFOG","DAYWeatherSNOW","DAYPrecip","DAYPrecipTrace","DAYPrecipTenth","DAYPrecipQuart","DAYPrecipHalf","AV_W","GDIST_W","GTT_W","GCO_W","TAUSE3_W","TELIKE3_W","AV_B","GDIST_B","GTT_B","GCO_B","TAUSE3_B","TELIKE3_B","AV_D","GDIST_D","GTT_D","GCO_D","TAUSE3_D","TELIKE3_D","AV_P","GDIST_P","GTT_P","GCO_P","TAUSE3_P","TELIKE3_P","AV_T","GDIST_T","GTT_T","GCO_T","TAUSE3_T","TELIKE3_T"
"372",10372,"Public transit","Tran","T","18-34","18-34","White-alone","Female","UG deg","No",2,1,0,0,0,"50-75k","No","Yes",2,2,"Yes","No","No","MF","Rented","0-5 years","No",5,"Somewhat flexible","Somewhat satsified","Somewhat satsified",10,"Yes",64,47,0,6.2,0,0,1,0,0,0,0,0,0,0,5.41400719796389,120.033333333333,0,NA,NA,1,5.97883361170763,51.8833333333333,0,"Useful","Liked",1,5.67063350035791,17.75,4.70882918754474,"Wasted","Disliked",0,5.67063350035791,16.75,2.35441459377237,NA,NA,1,5.4258132506164,53.0833333333333,1,"Useful","Liked"
"373",10373,"Automobile, driver","AutoD","D","55-64","55+","White-alone","Male","Grad deg","No",1,0,0,0,0,"100-150k","No","Yes",0,2,"No","No","No","SF","Owned","5+ years","No",5,"Somewhat flexible","Somewhat satsified","Somewhat satsified",30,"Yes",66,46,0,7.3,0,1,1,0,0,0,0,0,0,0,16.6894088523026,337.283333333333,0,NA,NA,0,22.2475741668655,127.833333333333,0,NA,NA,1,18.0427553089955,37.1166666666667,7.25534441362443,"Wasted","Liked",1,18.0427553089955,33.6166666666667,3.62767220681222,"Useful","Liked",0,20.602183249821,84.5,4,NA,NA
"374",10374,"Automobile, driver","AutoD","D","35-44","35-44","White-alone","Female","Grad deg","Yes",5,0,0,3,0,"100-150k","No","Yes",3,3,"No","No","No","SF","Owned","0-5 years","No",5,"Somewhat flexible","Neither satsfied nor dissatisfied","Neither satsfied nor dissatisfied",15,"Yes",66,45,0,7.2,0,1,0,0,0,0,0,0,0,0,28.011413346059,558.55,0,NA,NA,0,34.8533315437843,181.316666666667,0,NA,NA,1,27.7125338025929,59.8,8.46406672532411,"Useful","Liked",1,27.7125338025929,56.3,4.23203336266205,"Neither","Neither",0,33.0488696015271,88.9833333333333,2.5,NA,NA
"376",10376,"Automobile, driver","AutoD","D","45-54","45-54","White-alone","Female","HS-col","No",1,0,0,0,0,"50-75k","Yes","Yes",1,1,"No","No","No","MF","Owned","5+ years","No",4,"Somewhat inflexible","Neither satsfied nor dissatisfied","Somewhat dissatisfied",10,"Yes",66,46,0,7.3,0,1,1,0,0,0,0,0,0,0,4.36699673904398,86.05,0,NA,NA,1,4.36948222381293,23.85,0,"Neither","Disliked",1,4.67457547920146,18.3333333333333,0.584321934900183,"Wasted","Neither",0,4.67457547920146,17.3333333333333,0.292160967450091,NA,NA,0,5.59234073013601,31.25,2.5,NA,NA
"377",10377,"Bicycling","Bike","B","18-34","18-34","White-alone","Female","Grad deg","No",2,1,0,0,0,"100-150k","No","Yes",4,1,"Yes","Yes","Yes","SF","Rented","0-5 years","No",5,"Somewhat flexible","Very satisfied","Somewhat satsified",15,"No",64,47,0,6.2,0,0,1,0,0,0,0,0,0,0,3.00557245685198,61.0333333333333,0,NA,NA,1,3.30072377316472,19.6166666666667,0,"Useful","Liked",1,3.28270400858984,21.2166666666667,4.41033800107373,"Wasted","Disliked",0,3.28270400858984,19.2166666666667,2.20516900053686,NA,NA,0,3.47284359341446,34.3,1,NA,NA
"378",10378,"Automobile, driver","AutoD","D","45-54","45-54","White-alone","Male","HS-col","No",6,1,0,2,0,"50-75k","Yes","Yes",2,2,"Yes","No","No","SF","Owned","5+ years","No",5,"Very inflexible","Somewhat satsified","Somewhat dissatisfied",5,"Yes",66,45,0,7.2,0,1,0,0,0,0,0,0,0,0,10.5546110713434,212.183333333333,0,NA,NA,0,12.8089457567804,66.25,0,NA,NA,1,14.9408703173467,31.0166666666667,1.86760878966834,"Useful","Liked",0,14.9408703173467,30.0166666666667,0.933804394834168,NA,NA,1,12.2975572655691,70.1833333333333,1,"Useful","Liked"
"379",10379,"Automobile, passenger","AutoP","P","18-34","18-34","White-alone","Female","HS-col","Yes",5,4,1,0,0,"75-100k","No","Yes",2,6,"Yes","No","No","SF","Owned","5+ years","No",4,"Neither flexible nor inflexible","Neither satsfied nor dissatisfied","Neither satsfied nor dissatisfied",10,"Yes",62,50,0,6.7,1,1,0,0,0.05,1,0,0,0,0,8.09149566531456,164.05,0,NA,NA,0,8.35433567963095,49.1333333333333,0,NA,NA,0,7.74849876719955,16.4833333333333,0.968562345899944,NA,NA,1,7.74849876719955,15.4833333333333,0.484281172949972,"Useful","Neither",1,9.15217629046369,38.4666666666667,1,"Wasted","Neither"
"380",10380,"Public transit","Tran","T","45-54","45-54","White-alone","Male","Grad deg","No",3,0,1,1,0,"75-100k","No","Yes",2,1,"Yes","Yes","Yes","MF","Rented","0-5 years","No",5,"Somewhat flexible","Somewhat dissatisfied","Somewhat dissatisfied",15,"No",64,47,0,6.2,0,0,1,0,0,0,0,0,0,0,15.6740883241867,321.5,0,NA,NA,1,17.2859251968504,112.5,0,"Useful","Liked",0,22.3544500119303,34.85,2.79430625149129,NA,NA,0,22.3544500119303,33.85,1.39715312574565,NA,NA,1,18.373946154458,68.6166666666667,1,"Useful","Liked"
"381",10381,"Public transit","Tran","T","65+","55+","White-alone","Female","Grad deg","No",3,1,0,0,0,"75-100k","No","Yes",2,1,"Yes","Yes","No","SF","Owned","5+ years","No",5,"Somewhat flexible","Somewhat satsified","Very satisfied",5,"Yes",64,45,0,4.8,0,0,0,0,0,0,0,0,0,0,5.28041239163286,108.283333333333,0,NA,NA,0,5.9533573928259,35.45,0,NA,NA,1,4.52482502187227,15.2166666666667,4.56560312773403,"Useful","Disliked",0,4.52482502187227,14.2166666666667,2.28280156386702,NA,NA,1,6.48090153503539,47.25,1,"Useful","Liked"
"382",10382,"Public transit","Tran","T","45-54","45-54","White-alone","Female","UG deg","No",2,0,0,0,0,"100-150k","No","Yes",3,3,"Yes","No","No","SF","Owned","5+ years","No",5,"Very inflexible","Somewhat satsified","Somewhat dissatisfied",15,"Yes",64,47,0,6.2,0,0,1,0,0,0,0,0,0,0,8.27480016702458,168.283333333333,0,NA,NA,1,8.82471367215462,48.5,0,"Useful","Liked",1,8.548203491609,30,6.06852543645113,"Wasted","Disliked",1,8.548203491609,26.5,3.03426271822556,"Wasted","Disliked",1,9.7331583552056,42.8333333333333,1,"Neither","Liked"
