"","ID1","CMODE6","CMODE5","MC","AGE","AGE2","RACE","GEND","EDUC","STUD","HHSIZE","HHMEMEMP","HHMEMSTU","HHMEM16L","HHMEM65P","HHINC","DISAB","DLIC","HHVEHBIKE","HHVEHAUTO","TPASS","VSHMEMAUTO","VSHMEMBIKE","HTYPE","HTEN","HDUR","WSELF","WDAYS1","WFLEX","TYPSAT","TYPSATTT","TTIDEAL","TPORT","DAYTempMax","DAYTempMin","DAYTempFrz","DAYTempAvgDev","DAYWeatherRAIN","DAYWeatherMIST","DAYWeatherFOG","DAYWeatherSNOW","DAYPrecip","DAYPrecipTrace","DAYPrecipTenth","DAYPrecipQuart","DAYPrecipHalf","alt","AV","GDIST","GTT","GCO","TAUSE3","TELIKE3","chid"
"12.D",10016,"Automobile, driver","AutoD",TRUE,"18-34","18-34","White-alone","Male","UG deg","No",2,0,0,0,0,"75-100k","No","Yes",1,2,"No","No","No","SF","Rented","0-5 years","No",5,"Very flexible","Somewhat satsified","Somewhat satsified",15,"Yes",56,48,0,2.7,1,1,0,0,0.09,1,0,0,0,"D",1,9.836305973117,24.25,1.22953824663962,"Neither","Liked",12
"12.T",10016,"Automobile, driver","AutoD",FALSE,"18-34","18-34","White-alone","Male","UG deg","No",2,0,0,0,0,"75-100k","No","Yes",1,2,"No","No","No","SF","Rented","0-5 years","No",5,"Very flexible","Somewhat satsified","Somewhat satsified",15,"Yes",56,48,0,2.7,1,1,0,0,0.09,1,0,0,0,"T",1,10.1973226358069,73.6833333333333,7,"Wasted","Disliked",12
"13.B",10017,"Automobile, driver","AutoD",FALSE,"35-44","35-44","White-alone","Male","HS-col","No",3,0,0,1,0,"75-100k","No","Yes",2,2,"No","Yes","No","SF","Owned","0-5 years","No",5,"Somewhat flexible","Somewhat satsified","Somewhat dissatisfied",10,"No",62,49,0,3.6,1,0,0,0,0.07,1,0,0,0,"B",1,11.5419698958085,65.5666666666667,0,"Useful","Liked",13
"13.D",10017,"Automobile, driver","AutoD",TRUE,"35-44","35-44","White-alone","Male","HS-col","No",3,0,0,1,0,"75-100k","No","Yes",2,2,"No","Yes","No","SF","Owned","0-5 years","No",5,"Somewhat flexible","Somewhat satsified","Somewhat dissatisfied",10,"No",62,49,0,3.6,1,0,0,0,0.07,1,0,0,0,"D",1,9.29695577825499,24.75,1.16211947228187,"Useful","Liked",13
"13.P",10017,"Automobile, driver","AutoD",FALSE,"35-44","35-44","White-alone","Male","HS-col","No",3,0,0,1,0,"75-100k","No","Yes",2,2,"No","Yes","No","SF","Owned","0-5 years","No",5,"Somewhat flexible","Somewhat satsified","Somewhat dissatisfied",10,"No",62,49,0,3.6,1,0,0,0,0.07,1,0,0,0,"P",1,9.29695577825499,23.75,0.581059736140937,"Useful","Neither",13
"14.B",10018,"Bicycling","Bike",TRUE,"55-64","55+","White-alone","Male","HS-col","No",1,0,0,0,0,"75-100k","No","Yes",3,1,"No","Yes","No","SF","Owned","0-5 years","No",5,"Somewhat flexible","Somewhat satsified","Somewhat satsified",15,"No",61,48,0,2.6,1,0,0,0,0.07,1,0,0,0,"B",1,4.21165394098465,23.5,0,"Useful","Liked",14
"14.D",10018,"Bicycling","Bike",FALSE,"55-64","55+","White-alone","Male","HS-col","No",1,0,0,0,0,"75-100k","No","Yes",3,1,"No","Yes","No","SF","Owned","0-5 years","No",5,"Somewhat flexible","Somewhat satsified","Somewhat satsified",15,"No",61,48,0,2.6,1,0,0,0,0.07,1,0,0,0,"D",1,5.52709675495109,20.55,0.690887094368886,"Wasted","Disliked",14
"15.B",10019,"Bicycling","Bike",TRUE,"35-44","35-44","White-alone","Male","UG deg","No",5,1,3,3,0,"100-150k","No","Yes",4,2,"No","No","No","SF","Rented","0-5 years","No",5,"Somewhat inflexible","Somewhat satsified","Neither satsfied nor dissatisfied",35,"No",61,48,0,2.6,1,0,0,0,0.07,1,0,0,0,"B",1,10.6732929690607,59.5166666666667,0,"Useful","Liked",15
"15.D",10019,"Bicycling","Bike",FALSE,"35-44","35-44","White-alone","Male","UG deg","No",5,1,3,3,0,"100-150k","No","Yes",4,2,"No","No","No","SF","Rented","0-5 years","No",5,"Somewhat inflexible","Somewhat satsified","Neither satsfied nor dissatisfied",35,"No",61,48,0,2.6,1,0,0,0,0.07,1,0,0,0,"D",1,7.92496818579496,24.1333333333333,0.99062102322437,"Wasted","Disliked",15
"15.T",10019,"Bicycling","Bike",FALSE,"35-44","35-44","White-alone","Male","UG deg","No",5,1,3,3,0,"100-150k","No","Yes",4,2,"No","No","No","SF","Rented","0-5 years","No",5,"Somewhat inflexible","Somewhat satsified","Neither satsfied nor dissatisfied",35,"No",61,48,0,2.6,1,0,0,0,0.07,1,0,0,0,"T",1,9.43427881173944,59.1833333333333,2.5,"Wasted","Disliked",15
